Name,Link
JP-Re:ZERO/エミリア | Emilia (RVC v2 | RMVPE | KLMs7 Batch 3 | 500 Epochs),https://huggingface.co/liilliliiiliil/ReZERO_Emilia/resolve/main/%E3%82%A8%E3%83%9F%E3%83%AA%E3%82%A2_Emilia.zip?download=true
Nappa [DB-FighterZ | 🇺🇸] (RVC v2 | 150 Epochs),https://huggingface.co/SyberGen/DragonBall-Ov2Super/resolve/main/Nappa-FighterZ.zip?download=true
"Star Butterfly (Star vs. The Forces of Evil Russian Dub) (RVC V2, SnowieV3.1 Pretrain) [450 epochs]",https://huggingface.co/iamalexcaspian/StarButterfly-SVTFOE-RusDub-SnowieV3.1/resolve/main/StarButterfly-SVTFOE-RusDub-SnowieV3.1.zip?download=true
Arlecchino (JP) | Genshin Impact | RVC V2 | rmvpe | TITAN | 300 epochs,https://huggingface.co/riezzz/rvc-models/resolve/main/arlecchino-pth-300.zip?download=true
"Sergio Ramos - SR4 (Drums) (RVC v2, RMVPE, TITAN, 300 epochs)",https://huggingface.co/RegalHyperus/DrumKitRVCModels/resolve/main/SR4Drums.zip?download=true
Setsuna Kiryu - English Dub (Kengan Ashura) (RVC V2) (Titan Pretrain) (RMVPE 32K) (450 epochs),https://huggingface.co/Cauthess/SetsunaKiryu/resolve/main/Setsuna%20Kiryu%20-%20Kengan%20Ashura.zip?download=true
Bardock [DB-FighterZ | 🇺🇸] (RVC v2 | 250 Epochs),https://huggingface.co/SyberGen/DragonBall-Ov2Super/resolve/main/Bardock-FighterZ.zip?download=true
Fang of Metsudo -English Dub (Kengan Ashura) (RVC V2) (Titan Pretrain) (440 epochs),https://huggingface.co/Cauthess/FangofMetsudo/resolve/main/Fang%20of%20Metsudo%20-%20Kengan%20Ashura.zip?download=true
"Homer Simpson (The Simpsons) (S16-31) [Latin American Spanish, (RVC v2, TITAN, RMVPE - 600 Epochs)",https://huggingface.co/Elinvasor12/Otros_Personajes/resolve/main/Homero.zip
"American Authors - Best Day of My Life (Drums) (RVC v2, RMVPE, TITAN, 300 epochs)",https://huggingface.co/RegalHyperus/DrumKitRVCModels/resolve/main/BestDayOfMyLifeDrums.zip?download=true
Ragatha (TADC) (Italian Fandub) [RVCV2] [Itaila] [250 Epochs],https://huggingface.co/Loren85/Ragatha-TADC-Fandubita/resolve/main/Ragatha%20TADC%20ITA.zip?download=true
"Chicken (Cow and Chicken) (RVC v2, RMVPE) (350 epochs)",https://huggingface.co/WoomyPearl/RVC-Model-Palace/resolve/main/ChickenCowAndChicken.zip
"Cow (Cow and Chicken) (RVC v2, RMVPE) (350 epochs)",https://huggingface.co/WoomyPearl/RVC-Model-Palace/resolve/main/CowCowAndChicken.zip
James Bourne From Busted (TITAN) (RVC v2) (RMVPE) (300 Epochs),https://huggingface.co/SUP3RMASS1VE/James-Bourne-BUSTED/resolve/main/James%20Bourne%20(TITAN).zip?download=true
"Gummigoo (Rus Dub) (The Amazing Digital Circus) (RVC V2, RMVPE) 350 Epochs",https://huggingface.co/Timur04129/Gummigoo-Rus-Dub/resolve/main/Gummigoo%20Rus%20Dub.zip?download=true
"Caine - The Amazing Digital Circus/TADC (RVC v2, 48k, rmvpe, 150 epochs)",https://huggingface.co/kaya-kedi/Caine-TADC/resolve/main/Caine.zip?download=true
"Mario - Nintendo Switch (Charles Martinet) (RVC v2, 48k, rmvpe, 150 epochs)",https://huggingface.co/kaya-kedi/Mario-NintendoSwitch/resolve/main/Mario%20Nintendo%20Switch%20Era%20RVC.zip?download=true
"Marco Diaz (Star vs. The Forces of Evil) (Russian Dub) (RVC V2, SnowieV3.1 Pretrain) [450 epochs]",https://huggingface.co/iamalexcaspian/MarcoDiaz-SVTFOE-RusDub-SnowieV3.1/resolve/main/MarcoDiaz-SVTFOE-RusDub-SnowieV3.1.zip?download=true
Jade (JP) | Honkai: Star Rail | RVC V2 | rmvpe | TITAN | 300 epochs,https://huggingface.co/riezzz/rvc-models/resolve/main/jade-pth.zip?download=true
KR-GenshinImpact_Klee(RVC v2 | RMVPE | KLMs7 Batch 3 | 300 Epochs),https://huggingface.co/liilliliiiliil/GenshinImpact_Klee/resolve/main/Genshin%20Impact_Klee.zip?download=true
Robin (JP) | Honkai: Star Rail | RVC V2 | rmvpe | TITAN | 300 epochs,https://huggingface.co/riezzz/rvc-models/resolve/main/robin-pth.zip?download=true
Korean actor Jung Woo Sung [RVC v2 | RMVPE | KLMs7 Batch 3A | 250 Epochs],https://huggingface.co/YangPa/woosung/resolve/main/Jung_WooSung_V3_KLMs7B3a.zip?download=true
Pomni (TADC) (Italian Fandub) (Voice Actor Gin fotonic) [RVCV2] [Itaila] [250 Epochs],https://huggingface.co/Loren85/Pomni-ItalianFandub-TADC/resolve/main/Pomni%20(TADC)%20(ItaFandub).zip?download=true
Autopilot-Piloto automático (RVCv2-TITAN Pretrain) (1025 Epochs) (RMVPE) (latin american dub),https://huggingface.co/clockpocket/Autopilot-Mexico-RVCv2-300Epochs/resolve/main/Autopilot-Mexico-1025Epochs.zip?download=true
Neco-Arc (Original Voice) [200 Epochs - RVC V2 - Titan Pretrain],https://huggingface.co/CRoyce/Models_I_make/resolve/main/Neco-Arc.zip?download=true
FuhNaff (FNAF Youtuber) [186 Epochs/RVMPE] [RVC2],https://huggingface.co/MusologyWavey/MusologyRVC/resolve/main/FuhNaff.zip?download=true
"Shaggy Rogers (Matthew Lillard, Scooby-Doo! series) (RVC v2, RMVPE) (350 epochs)",https://huggingface.co/WoomyPearl/RVC-Model-Palace/resolve/main/ShaggyRogers.zip
Chris Young (2015-2017) (RVC v2) (300 Epochs) (RMVPE),https://huggingface.co/mjfan1999/ChrisYoung15-17/resolve/main/ChrisYoung15-17.zip
Tokisaki Kurumi (Improvised) (JP) | Date A Live | RVC V2 | rmvpe | TITAN | 300 epochs,https://huggingface.co/riezzz/rvc-models/resolve/main/tokisaki-300.zip?download=true
"OcularNebula - Stay Inside Me (Drums) (RVC v2, RMVPE, TITAN, 300 epochs)",https://huggingface.co/RegalHyperus/DrumKitRVCModels/resolve/main/StayInsideMeDrums.zip?download=true
Treaty [ BFTMI ] RVC V2 100 EPOCHS,https://huggingface.co/cheir/treaty/resolve/main/treaty.zip?download=true
Jax (Italian Fandub) (the Amezing Digital Circus) [RVCV2] [Itaila] [250 Epochs],https://huggingface.co/Loren85/Jax-TADC-Fandubita/resolve/main/Jax-TADC-Fandubita.zip?download=true
Moka Akashiya (Rosario Vampire) (Inner Persona) (ENG Dub) (RVC V2) (TITAN 32K) (300 Epochs),https://huggingface.co/ABF54/ABFRVC/resolve/main/MokaAkashiya(Inner_Persona)EN32k.zip?download=true
"Ragatha (Rus Dub) (The Amazing Digital Circus) (V2) (RVC V2, RMVPE) 330 Epochs",https://huggingface.co/Timur04129/Ragatha-Rus-Dub_V2/resolve/main/Ragatha%20Rus%20Dub.zip?download=true
Pierce The Veil (V3) (RVC V2 -  TITAN) (RMVPE - 300 Epochs),https://huggingface.co/AI-Wheelz/PTV_TITAN/resolve/main/PTV_TITAN.zip?download=true
"Jax (TADC) - (RVC V2) - (TITAN, RMVPE) - (300 epochs)",https://huggingface.co/Thatsnazzyartist22/JaxV2/resolve/main/FinalJax.zip?download=true
LA Beast (skippy62able) (RVC V2-TITAN Pretrain) (120 Epochs (RMVPE),https://huggingface.co/Coolwowsocoolwow/LA_Beast/resolve/main/LA_Beast_v2.zip?download=true
"Sony Music Logo (RVC V2) (TITAN, RMVPE, 200 Epochs)",https://huggingface.co/GoldoBasic/Sony_Music_Logo/resolve/main/Sony_Music_Logo.zip?download=true
"Diego Takupaz - Goyang Ubur Ubur (Bass) (RVC v2, RMVPE, TITAN, 300 epochs)",https://huggingface.co/RegalHyperus/MiscellaneousRVCModels/resolve/main/GoyangUburUburBass.zip?download=true
Jenny Belle (LizzleWaffle) (RVC V2-TITAN Pretrain) (1079 Epochs) (RMVPE),https://huggingface.co/clockpocket/Jenny_Belle_RVCv2_1079epochs/resolve/main/Jenny-Belle_RVCv2_1079Epochs.zip?download=true
Markiplier (RVC V2-TITAN Pretrain) (140 Epochs) (RMVPE),https://huggingface.co/Coolwowsocoolwow/Markiplier/resolve/main/Markiplier_v2.zip?download=true
Duke Nukem (DN Forever) (Italian Dub) (voice actor marco Balzarotti) [RVCV2] [Itaila] [150 epochs],https://huggingface.co/Loren85/Duke-Nukem-Italian-DUB/resolve/main/Duke%20Nukem%20Italian%20Dub.zip?download=true
Kurumi Tokisaki (JP) | Date A Live | RVC V2 | rmvpe | 200 epochs,https://huggingface.co/riezzz/Kurumi_Tokisaki/resolve/main/kurumi_tokisaki.zip?download=true
Bad Piggies Main Theme (Drums) (RVC v2 RMVPE) (OV2) (200 Epochs),https://huggingface.co/EvanTheToonGuy40/RVC_Models/resolve/main/BadPiggiesMainThemeDrums.zip?download=true
"The great mighty poo (2005 voice) (RVC V2) (600 Epochs, RMVPE) (Conker: Live & Reloaded)",https://huggingface.co/clockpocket/The-great-mighty-poo-2005-voice/resolve/main/the.mighty.poo.voice.RVCv2.zip?download=true
Tree-y [ BFTMI ] RVC V2 150 EPOCHS,https://huggingface.co/cheir/tree-y/resolve/main/tree_y.zip?download=true
Cugino Piero (Parente Youtuber Albyphoto) (Italian) [RVCV2] [Itaila] [150 Epochs],https://huggingface.co/Loren85/Piero-Albyphoto-Cugino/resolve/main/Cugino%20Piero%20(albyphoto).zip?download=true
Infomaniac Lego Island (RVC V2-TITAN Pretrain) (160 Epochs) (RMVPE),https://huggingface.co/Coolwowsocoolwow/Infomaniac_Lego_Island/resolve/main/Infomaniac_v2.zip?download=true
"Hwang Jung-min, a Korean actor V3 (RVC v2 | RMVPE | KLMs7 Batch 3 | 250 Epoche)",https://huggingface.co/YangPa/JungMin/resolve/main/JungMin_KLMv7s_250e.zip?download=true
Kyne (Italian Youtuber DBLegends Mobile Game) [RVCV2] [Itaila] [300 Epochs],https://huggingface.co/Loren85/Kyne-DBL-Youtuber-Ita/resolve/main/Kyne%20DBL%20Youtuber%20ITA.zip?download=true
"Eazy-E (Eric Wright) [200 Epochs, RVC V2 - Titan Pretrain]",https://huggingface.co/CRoyce/Models_I_make/resolve/main/Eazy-E_v4.zip?download=true
Switch Sports Announcer (RVC V2-TITAN Pretrain) (200 Epochs) (RMVPE),https://huggingface.co/Coolwowsocoolwow/Switch_Sports_Announcer/resolve/main/Switch_Sports_Announcer_v2.zip?download=true
"Tech N9ne ft. Joey Cool, King Iso & the Rock - Face Off (Drums) (RVC v2, RMVPE, TITAN, 300 epochs)",https://huggingface.co/RegalHyperus/DrumKitRVCModels/resolve/main/FaceOffDrums.zip?download=true
Olivia Rodrigo (CREPE) (RVC TITAN-medium40k) 250 epochs,https://huggingface.co/SimplCup/OlivisRodrigo/resolve/main/OliviaRodrigo.zip?download=truec
Google Translate (EN) (RVC V2-TITAN Pretrain) (140 Epochs) (RMVPE),https://huggingface.co/Coolwowsocoolwow/Google_Translate/resolve/main/Google_Translate_v2.zip?download=true
Blaze (Sonic 06) (RVC V2) (280 Epochs) (RMVPE),https://huggingface.co/Coolwowsocoolwow/Blaze_Sonic_06/resolve/main/Blaze_v2.zip?download=true
Self Checkout (RVC V2-TITAN Pretrain) (200 Epochs) (RMVPE),https://huggingface.co/Coolwowsocoolwow/Self_Checkout/resolve/main/Self_Checkout_v2.zip?download=true
Baldi Basics Song Basics in Behavior Blue (Singer) (RVC V2-TITAN Pretrain) (320 Epochs) (RMVPE),https://huggingface.co/Coolwowsocoolwow/Baldi_Basics_Song_Basics_in_Behavior_Singer/resolve/main/Baldi_Basics_Song_Basics_in_Behavior_Singer.zip?download=true
"Ahna Mac (From ""Baddies"" Franchise) [RMVPE, RVC V2, 300 Epochs]",https://huggingface.co/ariscult/ahnamacv2/resolve/main/ahnamacv2.zip
Dance Gavin Dance (Jackpot Juicer) - (RVC V2 - RMVPE - TITAN) (250 Epochs),https://huggingface.co/AI-Wheelz/DGD_V2/resolve/main/DGD_V2.zip?download=true
"Yoop I-Ready (RVC V2) (TITAN, RMVPE, 200 Epochs)",https://huggingface.co/GoldoBasic/Yoop_RVC/resolve/main/Yoop_I-Ready.zip?download=true
"Porky Pig (Looney Tunes: Back in Action) (RVC v2, RMVPE) (350 epochs)",https://huggingface.co/WoomyPearl/RVC-Model-Palace/resolve/main/PorkyPigLTBIA.zip
"Lincoln Loud (The Loud House, seasons 4-6, Asher Bishop) (RVC V2, RMVPE, OV2) [350 Epochs]",https://huggingface.co/iamalexcaspian/LincolnLoud-TLH-AsherBishop/resolve/main/LincolnLoud-TLH-AsherBishop.zip?download=true
